year,district,climate,carbon
2013,"Coos Bay District",CCSM4-rcp45,2298603.3702983
2013,"Coos Bay District",CCSM4-rcp85,2298603.3702983
2013,"Coos Bay District",Ensemble-rcp45,2298603.3702983
2013,"Coos Bay District",Ensemble-rcp85,2298603.3702983
2013,"Coos Bay District",GFDLCM3-rcp45,2298603.3702983
2013,"Coos Bay District",GFDLCM3-rcp85,2298603.3702983
2013,"Coos Bay District",HadGEM2ES-rcp45,2298603.3702983
2013,"Coos Bay District",HadGEM2ES-rcp85,2298603.3702983
2013,"Coos Bay District",NoClimate,2298603.3702983
2013,"Eugene District",CCSM4-rcp45,1666146.7936775
2013,"Eugene District",CCSM4-rcp85,1666146.7936775
2013,"Eugene District",Ensemble-rcp45,1666146.7936775
2013,"Eugene District",Ensemble-rcp85,1666146.7936775
2013,"Eugene District",GFDLCM3-rcp45,1666146.7936775
2013,"Eugene District",GFDLCM3-rcp85,1666146.7936775
2013,"Eugene District",HadGEM2ES-rcp45,1666146.7936775
2013,"Eugene District",HadGEM2ES-rcp85,1666146.7936775
2013,"Eugene District",NoClimate,1666146.7936775
2013,"Lakeview District",CCSM4-rcp45,117910.0065857
2013,"Lakeview District",CCSM4-rcp85,117910.0065857
2013,"Lakeview District",Ensemble-rcp45,117910.0065857
2013,"Lakeview District",Ensemble-rcp85,117910.0065857
2013,"Lakeview District",GFDLCM3-rcp45,117910.0065857
2013,"Lakeview District",GFDLCM3-rcp85,117910.0065857
2013,"Lakeview District",HadGEM2ES-rcp45,117910.0065857
2013,"Lakeview District",HadGEM2ES-rcp85,117910.0065857
2013,"Lakeview District",NoClimate,117910.0065857
2013,"Medford District",CCSM4-rcp45,2960394.5921279
2013,"Medford District",CCSM4-rcp85,2960394.5921279
2013,"Medford District",Ensemble-rcp45,2960394.5921279
2013,"Medford District",Ensemble-rcp85,2960394.5921279
2013,"Medford District",GFDLCM3-rcp45,2960394.5921279
2013,"Medford District",GFDLCM3-rcp85,2960394.5921279
2013,"Medford District",HadGEM2ES-rcp45,2960394.5921279
2013,"Medford District",HadGEM2ES-rcp85,2960394.5921279
2013,"Medford District",NoClimate,2960394.5921279
2013,"Roseburg District",CCSM4-rcp45,2139924.3108901
2013,"Roseburg District",CCSM4-rcp85,2139924.3108901
2013,"Roseburg District",Ensemble-rcp45,2139924.3108901
2013,"Roseburg District",Ensemble-rcp85,2139924.3108901
2013,"Roseburg District",GFDLCM3-rcp45,2139924.3108901
2013,"Roseburg District",GFDLCM3-rcp85,2139924.3108901
2013,"Roseburg District",HadGEM2ES-rcp45,2139924.3108901
2013,"Roseburg District",HadGEM2ES-rcp85,2139924.3108901
2013,"Roseburg District",NoClimate,2139924.3108901
2013,"Salem District",CCSM4-rcp45,2290196.3813164
2013,"Salem District",CCSM4-rcp85,2290196.3813164
2013,"Salem District",Ensemble-rcp45,2290196.3813164
2013,"Salem District",Ensemble-rcp85,2290196.3813164
2013,"Salem District",GFDLCM3-rcp45,2290196.3813164
2013,"Salem District",GFDLCM3-rcp85,2290196.3813164
2013,"Salem District",HadGEM2ES-rcp45,2290196.3813164
2013,"Salem District",HadGEM2ES-rcp85,2290196.3813164
2013,"Salem District",NoClimate,2290196.3813164
2018,"Coos Bay District",CCSM4-rcp45,2422754.0153859
2018,"Coos Bay District",CCSM4-rcp85,2420161.4565492
2018,"Coos Bay District",Ensemble-rcp45,2423764.9671493
2018,"Coos Bay District",Ensemble-rcp85,2423253.6375178
2018,"Coos Bay District",GFDLCM3-rcp45,2421393.0503623
2018,"Coos Bay District",GFDLCM3-rcp85,2420670.6753664
2018,"Coos Bay District",HadGEM2ES-rcp45,2422270.5378486
2018,"Coos Bay District",HadGEM2ES-rcp85,2419122.7371543
2018,"Coos Bay District",NoClimate,2430965.7568065
2018,"Eugene District",CCSM4-rcp45,1790878.8367802
2018,"Eugene District",CCSM4-rcp85,1792794.3177281
2018,"Eugene District",Ensemble-rcp45,1793926.0816939
2018,"Eugene District",Ensemble-rcp85,1793456.7669126
2018,"Eugene District",GFDLCM3-rcp45,1793522.9574864
2018,"Eugene District",GFDLCM3-rcp85,1792422.8885549
2018,"Eugene District",HadGEM2ES-rcp45,1793402.7070227
2018,"Eugene District",HadGEM2ES-rcp85,1790321.610708
2018,"Eugene District",NoClimate,1797973.0237984
2018,"Lakeview District",CCSM4-rcp45,124444.2425122
2018,"Lakeview District",CCSM4-rcp85,127806.3345308
2018,"Lakeview District",Ensemble-rcp45,124885.2831262
2018,"Lakeview District",Ensemble-rcp85,125648.2226062
2018,"Lakeview District",GFDLCM3-rcp45,127432.4883208
2018,"Lakeview District",GFDLCM3-rcp85,127309.9829769
2018,"Lakeview District",HadGEM2ES-rcp45,124094.9475313
2018,"Lakeview District",HadGEM2ES-rcp85,124461.686547
2018,"Lakeview District",NoClimate,124980.5188804
2018,"Medford District",CCSM4-rcp45,3135787.384943
2018,"Medford District",CCSM4-rcp85,3161585.450137
2018,"Medford District",Ensemble-rcp45,3151932.5174985
2018,"Medford District",Ensemble-rcp85,3152008.3896767
2018,"Medford District",GFDLCM3-rcp45,3156828.1429388
2018,"Medford District",GFDLCM3-rcp85,3155160.4787659
2018,"Medford District",HadGEM2ES-rcp45,3143589.9911711
2018,"Medford District",HadGEM2ES-rcp85,3147084.0853837
2018,"Medford District",NoClimate,3156344.1968686
2018,"Roseburg District",CCSM4-rcp45,2262923.3613266
2018,"Roseburg District",CCSM4-rcp85,2264554.5537199
2018,"Roseburg District",Ensemble-rcp45,2266805.9437797
2018,"Roseburg District",Ensemble-rcp85,2266110.6863067
2018,"Roseburg District",GFDLCM3-rcp45,2266108.816847
2018,"Roseburg District",GFDLCM3-rcp85,2265463.4025115
2018,"Roseburg District",HadGEM2ES-rcp45,2265618.7011753
2018,"Roseburg District",HadGEM2ES-rcp85,2262486.6989602
2018,"Roseburg District",NoClimate,2271469.4066724
2018,"Salem District",CCSM4-rcp45,2446044.140554
2018,"Salem District",CCSM4-rcp85,2448327.1513802
2018,"Salem District",Ensemble-rcp45,2450389.8528191
2018,"Salem District",Ensemble-rcp85,2449506.4652834
2018,"Salem District",GFDLCM3-rcp45,2450937.0387834
2018,"Salem District",GFDLCM3-rcp85,2449789.8555966
2018,"Salem District",HadGEM2ES-rcp45,2448881.1892708
2018,"Salem District",HadGEM2ES-rcp85,2445925.4703308
2018,"Salem District",NoClimate,2452685.2781586
2023,"Coos Bay District",CCSM4-rcp45,2570788.6248052
2023,"Coos Bay District",CCSM4-rcp85,2563834.8549757
2023,"Coos Bay District",Ensemble-rcp45,2573445.468177
2023,"Coos Bay District",Ensemble-rcp85,2572382.5585617
2023,"Coos Bay District",GFDLCM3-rcp45,2566239.2158409
2023,"Coos Bay District",GFDLCM3-rcp85,2564116.0239037
2023,"Coos Bay District",HadGEM2ES-rcp45,2569528.5858405
2023,"Coos Bay District",HadGEM2ES-rcp85,2562138.8565703
2023,"Coos Bay District",NoClimate,2592526.8982148
2023,"Eugene District",CCSM4-rcp45,1942420.7095836
2023,"Eugene District",CCSM4-rcp85,1944836.7764806
2023,"Eugene District",Ensemble-rcp45,1949563.1375292
2023,"Eugene District",Ensemble-rcp85,1948581.8953712
2023,"Eugene District",GFDLCM3-rcp45,1946724.0118862
2023,"Eugene District",GFDLCM3-rcp85,1942969.679688
2023,"Eugene District",HadGEM2ES-rcp45,1947285.8953229
2023,"Eugene District",HadGEM2ES-rcp85,1939205.49624
2023,"Eugene District",NoClimate,1960132.0312919
2023,"Lakeview District",CCSM4-rcp45,130155.6836393
2023,"Lakeview District",CCSM4-rcp85,140019.6613156
2023,"Lakeview District",Ensemble-rcp45,131232.4832658
2023,"Lakeview District",Ensemble-rcp85,133239.0414981
2023,"Lakeview District",GFDLCM3-rcp45,138553.3704045
2023,"Lakeview District",GFDLCM3-rcp85,138291.3984408
2023,"Lakeview District",HadGEM2ES-rcp45,129075.5449411
2023,"Lakeview District",HadGEM2ES-rcp85,129633.6998568
2023,"Lakeview District",NoClimate,132432.9088668
2023,"Medford District",CCSM4-rcp45,3303566.6868603
2023,"Medford District",CCSM4-rcp85,3380425.7080628
2023,"Medford District",Ensemble-rcp45,3352192.1465921
2023,"Medford District",Ensemble-rcp85,3353143.1853412
2023,"Medford District",GFDLCM3-rcp45,3367282.40848029
