rx,rxnum,climate,acres,num
rx1,1,CCSM4-rcp45,45717.1934179999,2500
rx1,1,CCSM4-rcp85,45104.2819849999,2486
rx1,1,Ensemble-rcp45,48720.6176949999,2594
rx1,1,Ensemble-rcp85,41934.8260789998,2362
rx1,1,GFDLCM3-rcp45,48256.0051129999,2587
rx1,1,GFDLCM3-rcp85,40758.6537359998,2332
rx1,1,HadGEM2ES-rcp45,45750.7311589999,2487
rx1,1,HadGEM2ES-rcp85,39045.1275679999,2251
rx1,1,NoClimate,54612.6236469999,2800
rx4,4,CCSM4-rcp45,6309.716012,257
rx4,4,CCSM4-rcp85,8529.54252599999,316
rx4,4,Ensemble-rcp45,5107.61369599999,216
rx4,4,Ensemble-rcp85,8264.315232,319
rx4,4,GFDLCM3-rcp45,6765.74380200001,264
rx4,4,GFDLCM3-rcp85,9072.68295399999,359
rx4,4,HadGEM2ES-rcp45,8135.912434,314
rx4,4,HadGEM2ES-rcp85,14215.99487,553
rx4,4,NoClimate,3573.139414,145
rx5,5,CCSM4-rcp45,8237.229535,313
rx5,5,CCSM4-rcp85,14406.970238,544
rx5,5,Ensemble-rcp45,7174.892239,291
rx5,5,Ensemble-rcp85,14095.814946,528
rx5,5,GFDLCM3-rcp45,9106.52177300001,355
rx5,5,GFDLCM3-rcp85,15792.893837,589
rx5,5,HadGEM2ES-rcp45,9369.357357,363
rx5,5,HadGEM2ES-rcp85,19125.107157,742
rx5,5,NoClimate,5513.484716,220
rx6,6,CCSM4-rcp45,20947.555268,816
rx6,6,CCSM4-rcp85,19652.043709,772
rx6,6,Ensemble-rcp45,20548.439808,809
rx6,6,Ensemble-rcp85,21563.756032,829
rx6,6,GFDLCM3-rcp45,20605.272816,801
rx6,6,GFDLCM3-rcp85,22389.481343,840
rx6,6,HadGEM2ES-rcp45,20680.772204,819
rx6,6,HadGEM2ES-rcp85,20539.516156,765
rx6,6,NoClimate,14910.679357,614
rx7,7,CCSM4-rcp45,37212.573952,1409
rx7,7,CCSM4-rcp85,30767.397385,1189
rx7,7,Ensemble-rcp45,35514.410098,1357
rx7,7,Ensemble-rcp85,32533.986476,1265
rx7,7,GFDLCM3-rcp45,33648.410775,1297
rx7,7,GFDLCM3-rcp85,31050.710973,1213
rx7,7,HadGEM2ES-rcp45,33831.403799,1306
rx7,7,HadGEM2ES-rcp85,27209.15219,1060
rx7,7,NoClimate,37900.903504,1456
rx9,9,CCSM4-rcp45,3894.988395,166
rx9,9,CCSM4-rcp85,3859.020737,154
rx9,9,Ensemble-rcp45,5253.283044,194
rx9,9,Ensemble-rcp85,3926.557815,158
rx9,9,GFDLCM3-rcp45,3937.302301,157
rx9,9,GFDLCM3-rcp85,3254.833737,128
rx9,9,HadGEM2ES-rcp45,4551.079627,172
rx9,9,HadGEM2ES-rcp85,2184.358639,90
rx9,9,NoClimate,5808.425942,226
