rx,rxnum,climate,acres,num,mgmtgrp
rx1,1,CCSM4-rcp45,7629.853424,306,BLM
rx1,1,CCSM4-rcp45,21448.883676,1572,"Exclusion or Stream Buffer"
rx1,1,CCSM4-rcp45,16638.456318,622,NSOW
rx1,1,CCSM4-rcp85,7068.531159,290,BLM
rx1,1,CCSM4-rcp85,21448.883676,1572,"Exclusion or Stream Buffer"
rx1,1,CCSM4-rcp85,16586.86715,624,NSOW
rx1,1,Ensemble-rcp45,8567.872454,332,BLM
rx1,1,Ensemble-rcp45,21448.883676,1572,"Exclusion or Stream Buffer"
rx1,1,Ensemble-rcp45,18703.861565,690,NSOW
rx1,1,Ensemble-rcp85,5584.842085,228,BLM
rx1,1,Ensemble-rcp85,21448.883676,1572,"Exclusion or Stream Buffer"
rx1,1,Ensemble-rcp85,14901.100318,562,NSOW
rx1,1,GFDLCM3-rcp45,8782.22406499999,343,BLM
rx1,1,GFDLCM3-rcp45,21448.883676,1572,"Exclusion or Stream Buffer"
rx1,1,GFDLCM3-rcp45,18024.897372,672,NSOW
rx1,1,GFDLCM3-rcp85,5227.696301,212,BLM
rx1,1,GFDLCM3-rcp85,21448.883676,1572,"Exclusion or Stream Buffer"
rx1,1,GFDLCM3-rcp85,14082.073759,548,NSOW
rx1,1,HadGEM2ES-rcp45,7413.387232,294,BLM
rx1,1,HadGEM2ES-rcp45,21448.883676,1572,"Exclusion or Stream Buffer"
rx1,1,HadGEM2ES-rcp45,16888.460251,621,NSOW
rx1,1,HadGEM2ES-rcp85,3535.421111,142,BLM
rx1,1,HadGEM2ES-rcp85,21448.883676,1572,"Exclusion or Stream Buffer"
rx1,1,HadGEM2ES-rcp85,14060.822781,537,NSOW
rx1,1,NoClimate,12358.388768,477,BLM
rx1,1,NoClimate,21448.883676,1572,"Exclusion or Stream Buffer"
rx1,1,NoClimate,20805.351203,751,NSOW
rx4,4,CCSM4-rcp45,6309.716012,257,BLM
rx4,4,CCSM4-rcp85,8529.54252599999,316,BLM
rx4,4,Ensemble-rcp45,5107.61369599999,216,BLM
rx4,4,Ensemble-rcp85,8264.315232,319,BLM
rx4,4,GFDLCM3-rcp45,6765.74380200001,264,BLM
rx4,4,GFDLCM3-rcp85,9072.68295399999,359,BLM
rx4,4,HadGEM2ES-rcp45,8135.912434,314,BLM
rx4,4,HadGEM2ES-rcp85,14215.99487,553,BLM
rx4,4,NoClimate,3573.139414,145,BLM
rx5,5,CCSM4-rcp45,8237.229535,313,BLM
rx5,5,CCSM4-rcp85,14406.970238,544,BLM
rx5,5,Ensemble-rcp45,7174.892239,291,BLM
rx5,5,Ensemble-rcp85,14095.814946,528,BLM
rx5,5,GFDLCM3-rcp45,9106.52177300001,355,BLM
rx5,5,GFDLCM3-rcp85,15792.893837,589,BLM
rx5,5,HadGEM2ES-rcp45,9369.357357,363,BLM
rx5,5,HadGEM2ES-rcp85,19125.107157,742,BLM
rx5,5,NoClimate,5513.484716,220,BLM
rx6,6,CCSM4-rcp45,9893.06118,385,BLM
rx6,6,CCSM4-rcp45,11054.494088,431,NSOW
rx6,6,CCSM4-rcp85,8027.389963,324,BLM
rx6,6,CCSM4-rcp85,11624.653746,448,NSOW
rx6,6,Ensemble-rcp45,11069.356359,433,BLM
rx6,6,Ensemble-rcp45,9479.083449,376,NSOW
rx6,6,Ensemble-rcp85,8814.542709,350,BLM
rx6,6,Ensemble-rcp85,12749.213323,479,NSOW
rx6,6,GFDLCM3-rcp45,10774.574409,414,BLM
rx6,6,GFDLCM3-rcp45,9830.698407,387,NSOW
rx6,6,GFDLCM3-rcp85,8365.230037,325,BLM
rx6,6,GFDLCM3-rcp85,14024.251306,515,NSOW
rx6,6,HadGEM2ES-rcp45,9461.735094,377,BLM
rx6,6,HadGEM2ES-rcp45,11219.03711,442,NSOW
rx6,6,HadGEM2ES-rcp85,5310.078332,211,BLM
rx6,6,HadGEM2ES-rcp85,15229.437824,554,NSOW
rx6,6,NoClimate,8024.742953,335,BLM
rx6,6,NoClimate,6885.936404,279,NSOW
rx7,7,CCSM4-rcp45,14267.067679,550,BLM
rx7,7,CCSM4-rcp45,22945.506273,859,NSOW
rx7,7,CCSM4-rcp85,8340.461602,349,BLM
rx7,7,CCSM4-rcp85,22426.935783,840,NSOW
