year,climate,carbon,timber,standing,fire,owl,cost
2013,CCSM4-rcp45,11300905.41516,118552.577278244,4628510.38262081,23852.128865,25899.970119,4155834.66322443
2013,CCSM4-rcp85,11304472.3551069,118564.085669294,4628498.87422976,23691.952736,26247.743582,3707867.62796512
2013,Ensemble-rcp45,11304419.6006955,118596.544744328,4628466.41515473,23554.134353,26182.032767,4160149.90086069
2013,Ensemble-rcp85,11292673.394098,118537.426434031,4628525.53346503,23664.187954,26114.232114,3912098.97594371
2013,GFDLCM3-rcp45,11301796.6982373,118565.941765363,4628497.01813369,23586.611369,25964.024979,4168148.26525526
2013,GFDLCM3-rcp85,11299169.7154457,118621.81727625,4628441.1426228,23755.646619,26176.076605,3823210.18820849
2013,HadGEM2ES-rcp45,11303302.1530414,118564.876371561,4628498.08352749,23781.934128,26064.254991,3801127.15164283
2013,HadGEM2ES-rcp85,11286669.9768979,121493.583907429,4625569.37599163,24860.014483,25765.243505,4093153.34057088
2013,NoClimate,11317483.096877,118561.063487712,4628501.89641134,23925.657528,26044.569588,3872433.22779755
2018,CCSM4-rcp45,11824084.2563294,118593.839784466,4795937.90987434,21950.777471,25883.862836,3810538.39678582
2018,CCSM4-rcp85,11858602.9432983,118546.994744708,4840231.94867654,23028.088868,26827.167498,3815885.4093408
2018,Ensemble-rcp45,11859752.948709,118550.277352486,4805268.52309717,21917.202546,26477.560043,3891271.73121444
2018,Ensemble-rcp85,11841642.8273288,118567.591173541,4810874.92798316,22376.516201,26295.354364,3984551.18851369
2018,GFDLCM3-rcp45,11858101.8180261,118698.101832745,4837648.27209241,22516.93302,26567.978089,3693906.76514052
2018,GFDLCM3-rcp85,11849144.6429462,118531.138670163,4833829.61311704,22528.96999,26647.506233,3892462.45565581
2018,HadGEM2ES-rcp45,11843995.0758163,118579.638105386,4796508.12076817,22497.525509,26213.74554,3990962.7733863
2018,HadGEM2ES-rcp85,11817810.6990922,118605.182604943,4792037.48867556,23684.782435,26278.351611,4150662.17712232
2018,NoClimate,11903011.3071426,118551.797603811,4811753.62910117,22327.566891,26395.919189,3997856.29447674
2023,CCSM4-rcp45,12397679.6745534,118532.610654002,4948476.30587467,19398.367499,25132.920407,3836390.04651879
2023,CCSM4-rcp85,12487185.241958,118529.624825829,5072697.61692246,21037.597922,27648.156899,3699896.1132109
2023,Ensemble-rcp45,12486068.6951941,118529.242079023,5047898.1917753,19592.585469,27519.433779,3789010.20815443
2023,Ensemble-rcp85,12464352.6280477,118535.587514428,5047628.56419316,20075.957189,27300.180163,3805411.034734
2023,GFDLCM3-rcp45,12488758.4202868,118535.270438938,5082206.44419789,19982.778059,27618.377965,3805352.6173819
2023,GFDLCM3-rcp85,12461629.7300613,118531.231176118,5063278.01964945,20659.505641,27215.344712,3924702.78200232
2023,HadGEM2ES-rcp45,12445889.0127907,118539.363817849,4991905.82415718,21201.027144,25971.704302,3751695.47215138
2023,HadGEM2ES-rcp85,12387646.0832133,125595.641761143,4955069.86530927,24078.769241,25658.650416,4246642.87793597
2023,NoClimate,12586301.2197589,118551.119638333,5093695.03771473,20270.585906,27618.915359,3908156.26214383
2028,CCSM4-rcp45,12927165.8874783,118544.786976875,4973114.04147815,16499.968332,23454.848944,3933742.2069129
2028,CCSM4-rcp85,13097528.1111605,118554.620473325,5247893.56187529,18136.037394,27186.679354,4021402.55540457
2028,Ensemble-rcp45,13111067.07483,118594.425873625,5256667.36245935,17174.035812,27710.693975,3734411.16226098
2028,Ensemble-rcp85,13077504.4128906,118557.396206394,5241702.76495234,17194.635759,27302.751905,3787505.64604596
2028,GFDLCM3-rcp45,13111417.5095608,118534.083178309,5287361.93881505,16156.906709,27607.095685,3882110.06288945
2028,GFDLCM3-rcp85,13056330.090717,118559.515951898,5235591.58900512,17924.006506,26573.100087,3801558.52692779
2028,HadGEM2ES-rcp45,13018848.4839989,118639.987068134,5103593.21934991,18197.420843,25781.737119,3953478.89611164
2028,HadGEM2ES-rcp85,12936921.740788,118587.022467854,5018507.5417824,20960.63347,23919.511112,3951869.19559981
2028,NoClimate,13293145.2324893,118702.931662088,5388649.92937694,20270.180553,29692.637125,3820000.13512259
2033,CCSM4-rcp45,13391068.1971276,118708.148943142,5005015.6545614,12849.093532,22871.589044,3868459.08864256
2033,CCSM4-rcp85,13681267.2652471,118530.281980128,5423836.82915437,13672.021046,27280.521257,3470646.60093565
2033,Ensemble-rcp45,13716393.6731225,118539.610119769,5437808.31354346,13572.429054,28697.928772,3696924.34272196
2033,Ensemble-rcp85,13667420.4968695,118557.117890915,5405754.69381439,13375.035037,28076.075914,3597628.63573096
2033,GFDLCM3-rcp45,13705863.2920691,118535.794486539,5464926.05960822,12839.562353,27773.862302,3699938.13063992
2033,GFDLCM3-rcp85,13614359.5699493,118554.708810281,5386934.10454478,14485.606828,26722.731968,3719188.22410691
2033,HadGEM2ES-rcp45,13546381.1317047,118557.44663422,5206435.65431242,14546.39635,26080.915618,4032013.46535312
2033,HadGEM2ES-rcp85,13445824.7624901,118546.30387963,5108254.47353851,16244.608723,23884.808005,4195216.80035864
2033,NoClimate,14007500.6236435,118554.759942447,5679213.74710317,15240.68304,32608.220221,3965558.75550463
2038,CCSM4-rcp45,13836682.8295445,118544.298336083,5152022.7611266,11755.525317,23396.941557,3950035.74512039
2038,CCSM4-rcp85,14245766.3234148,118552.197986574,5648786.92547123,10326.534242,29082.193624,3873568.63265174
2038,Ensemble-rcp45,14300578.7707526,118530.215701264,5664655.97703084,11081.21182,30155.536634,3901659.40889878
2038,Ensemble-rcp85,14227403.0237965,118533.129803548,5607100.53649902,10863.43308,28886.858518,3985180.74072699
2038,GFDLCM3-rcp45,14269370.05243,118543.498651463,5690151.65514433,9911.83177000001,29516.525658,3791057.13854293
2038,GFDLCM3-rcp85,14138076.7122076,118549.267723492,5583854.61129037,11567.352312,27656.107366,4026231.27209369
2038,HadGEM2ES-rcp45,14045405.0363381,118529.88974903,5399545.30175267,12154.328705,26972.443418,3960903.04954745
2038,HadGEM2ES-rcp85,13913891.5595767,118538.905981753,5283913.37159359,13229.324546,24463.598411,4166232.24776737
2038,NoClimate,14721833.579871,118579.241868096,5977925.07886386,11972.706483,35623.700526,3764683.80792805
2043,CCSM4-rcp45,14273107.8183966,118621.677171512,5338802.85466164,10222.586048,24197.834618,3951678.88026654
2043,CCSM4-rcp85,14799717.5712765,118587.944161214,5887342.91432257,9418.721292,31092.290007,3727825.09224689
2043,Ensemble-rcp45,14867700.4000891,118567.370699693,5907847.62493824,9272.273649,31642.797423,3632542.03970845
2043,Ensemble-rcp85,14756835.118123,118537.703738419,5807425.98240188,9931.20043800001,30573.589496,3628066.50306014
2043,GFDLCM3-rcp45,14813439.116323,118587.880655976,5922500.85624217,8199.560412,31673.620678,3597020.41976931
2043,GFDLCM3-rcp85,14631954.5450331,118547.55264738,5765747.66340432,9567.91836100001,28856.915269,3583591.58570605
2043,HadGEM2ES-rcp45,14525831.8023993,118536.030423536,5613355.81439149,10520.86109,28475.306835,3599303.29097448
2043,HadGEM2ES-rcp85,14356646.7232137,118569.886432429,5449204.87248639,11544.434494,25128.909698,3840376.96525755
2043,NoClimate,15425822.6718653,118561.270561976,6293844.86030646,10282.825462,38764.937675,3800939.74182291
2048,CCSM4-rcp45,14699034.6173731,118549.144025949,5544069.49515138,10757.844073,26048.864876,3666816.06386831
2048,CCSM4-rcp85,15320565.7022691,118557.082384322,6112870.77806797,8734.037713,33282.263875,3895251.69145298
2048,Ensemble-rcp45,15404769.9137196,118553.635391922,6147760.93102023,8878.037514,33661.692875,3655825.42833874
2048,Ensemble-rcp85,15232689.116177,118539.401246963,5973994.90744053,8371.232673,31569.01989,3904057.54684235
2048,GFDLCM3-rcp45,15322318.3771066,118530.07618833,6137224.08599671,7481.714283,33861.468371,3760630.32471198
2048,GFDLCM3-rcp85,15067030.0164041,118550.561985801,5880968.48574833,8567.028806,29746.640401,3762103.90204023
2048,HadGEM2ES-rcp45,14975301.6977557,118540.412336795,5818218.65099762,9594.53055,30089.792789,3883836.29205508
2048,HadGEM2ES-rcp85,14718008.4509507,118557.91413438,5497070.34950287,10805.888308,23693.860953,3882869.44724134
2048,NoClimate,16107149.443766,118543.939980136,6612359.98388203,8760.72166800001,43223.593546,3686319.95764419
2053,CCSM4-rcp45,15102008.6587136,118536.927793485,5755790.16854856,10015.561954,27852.391634,3552574.97931993
2053,CCSM4-rcp85,15791242.9926812,118533.830549166,6292986.5658526,7272.94211,34288.68618,3642768.07351719
2053,Ensemble-rcp45,15902606.8040182,118552.567312363,6364576.91678585,7367.608724,35370.447281,3679596.67244331
2053,Ensemble-rcp85,15642720.2939449,118560.199766519,6072596.75175352,7387.01695,31537.664982,3688948.36946105
2053,GFDLCM3-rcp45,15779193.6591613,118536.764720034,6307009.80597759,6037.476549,34931.880028,3635700.88869847
2053,GFDLCM3-rcp85,15418721.456529,118548.469166897,5879683.2896717,6839.356902,28283.861784,3450572.22106674
2053,HadGEM2ES-rcp45,15384241.3608457,118530.194585406,5989446.81466021,9090.18313300001,30926.395892,3725707.58438599
2053,HadGEM2ES-rcp85,14937073.7342747,118539.614050903,5255373.11710035,9260.261618,20235.457481,3486829.87904851
2053,NoClimate,16761568.6609337,118534.341709591,6924731.70355823,7554.481089,46644.348151,3690026.63540744
2058,CCSM4-rcp45,15475709.2910141,118552.372727335,5966812.60131063,8711.942344,29746.405692,3728499.50407089
2058,CCSM4-rcp85,16188614.4253713,118564.3255196,6409180.80028637,5750.141623,34668.83285,3506656.83241406
2058,Ensemble-rcp45,16354759.2344946,118537.124402805,6554224.39400375,6100.628437,37054.488665,3814393.19594363
2058,Ensemble-rcp85,15961910.0678129,118554.887182873,6084520.31616313,6837.487398,31094.072698,3631644.91805088
2058,GFDLCM3-rcp45,16165722.6901815,118532.495987983,6414674.57022996,4642.595548,35509.604674,3721557.71943385
2058,GFDLCM3-rcp85,15664810.246171,118555.634341717,5735354.13774337,7559.013392,26263.684128,3763527.38067496
2058,HadGEM2ES-rcp45,15734508.7379736,118535.653733869,6114091.7323697,8836.97550400001,32079.695056,3768049.33059686
2058,HadGEM2ES-rcp85,14949842.8359748,118536.685217447,4629516.23692598,11597.447241,15456.130739,3613546.60667364
2058,NoClimate,17378649.2607604,118531.161397119,7232378.67263393,5876.179742,49567.110775,3713016.04169132
2063,CCSM4-rcp45,15818212.2274893,118535.960346124,6171552.44064092,7594.271763,31096.251031,3739365.84396359
