year,side,climate,carbon,timber,standing,fire,owl,cost
2013,North/Moist,CCSM4-rcp45,6187823.73032261,46492.002167716,2570625.8720907,9986.17987,11235.443535,1577327.07438062
2013,South/Dry,CCSM4-rcp45,5113081.6848374,72060.575110528,2057884.51053012,13865.948995,14664.526584,2578507.58884381
2013,North/Moist,CCSM4-rcp85,6167339.01546741,62426.15986921,2554691.7143892,9825.785327,11112.98894,1884160.31742376
2013,South/Dry,CCSM4-rcp85,5137133.33963951,56137.925800084,2073807.15984057,13866.167409,15134.754642,1823707.31054136
2013,North/Moist,Ensemble-rcp45,6170911.91264161,57610.198882122,2559507.67537629,9751.232194,11179.587586,2015218.17191472
2013,South/Dry,Ensemble-rcp45,5133507.6880539,60986.345862206,2068958.73977845,13802.902159,15002.445181,2144931.72894597
2013,North/Moist,Ensemble-rcp85,6169025.16075841,56954.310655829,2560163.56360259,9677.906935,11164.400992,1938862.08024538
2013,South/Dry,Ensemble-rcp85,5123648.23333961,61583.115778202,2068361.96986245,13986.281019,14949.831122,1973236.89569833
2013,North/Moist,GFDLCM3-rcp45,6175654.98035941,53805.529879512,2563312.3443789,9675.073004,11145.603483,1930753.52687043
2013,South/Dry,GFDLCM3-rcp45,5126141.7178779,64760.411885851,2065184.6737548,13911.538365,14818.421496,2237394.73838483
2013,North/Moist,GFDLCM3-rcp85,6181257.90575681,51677.57923952,2565440.29501889,9832.240271,11216.345532,1669617.90370192
2013,South/Dry,GFDLCM3-rcp85,5117911.80968891,66944.23803673,2063000.84760392,13923.406348,14959.731073,2153592.28450656
2013,North/Moist,HadGEM2ES-rcp45,6189052.81326411,46402.754411352,2570715.11984706,9895.097386,11283.761241,1494307.56640459
2013,South/Dry,HadGEM2ES-rcp45,5114249.3397773,72162.121960209,2057782.96368044,13886.836742,14780.49375,2306819.58523824
2013,North/Moist,HadGEM2ES-rcp85,6153600.13557511,70583.913295375,2546533.96096304,10000.626949,10950.69378,2520523.59455126
2013,South/Dry,HadGEM2ES-rcp85,5133069.8413228,50909.670612054,2079035.4150286,14859.387534,14814.549725,1572629.74601963
2013,North/Moist,NoClimate,6173683.68903861,62935.88650337,2554181.98775504,10100.305946,11058.866901,1934092.79062653
2013,South/Dry,NoClimate,5143799.4078384,55625.176984342,2074319.90865631,13825.351582,14985.702687,1938340.43717102
2018,North/Moist,CCSM4-rcp45,6481786.9008951,74567.672557275,2677667.98704855,11770.909477,10769.422556,2305934.46871609
2018,South/Dry,CCSM4-rcp45,5342297.35543431,44026.167227191,2118269.9228258,10179.867994,15114.44028,1504603.92806974
2018,North/Moist,CCSM4-rcp85,6457830.95237679,76727.353456295,2661109.94592762,12404.66887,10770.979418,2382433.3590931
2018,South/Dry,CCSM4-rcp85,5400771.9909215,41819.641288413,2179122.00274891,10623.419998,16056.18808,1433452.05024769
2018,North/Moist,Ensemble-rcp45,6472784.90681629,73886.919087684,2669328.19286967,11782.186948,10717.109406,2343553.27270091
2018,South/Dry,Ensemble-rcp45,5386968.04189271,44663.358264802,2135940.3302275,10135.015598,15760.450637,1547718.45851353
2018,North/Moist,Ensemble-rcp85,6465806.32284908,76311.876241619,2667104.05030907,11854.604063,10570.179057,2371675.03291853
2018,South/Dry,Ensemble-rcp85,5375836.50447971,42255.714931922,2143770.87767409,10521.912138,15725.175307,1612876.15559516
2018,North/Moist,GFDLCM3-rcp45,6469430.87908799,76865.404921404,2670163.40153972,11876.030156,10712.379467,2325141.25777557
2018,South/Dry,GFDLCM3-rcp45,5388670.93893811,41832.696911341,2167484.87055269,10640.902864,15855.598622,1368765.50736496
2018,North/Moist,GFDLCM3-rcp85,6475430.68737368,76929.264587859,2672021.60079473,11994.206587,10728.037928,2378391.08187242
2018,South/Dry,GFDLCM3-rcp85,5373713.95557251,41601.874082304,2161808.0123223,10534.763403,15919.468305,1514071.37378338
2018,North/Moist,HadGEM2ES-rcp45,6483305.25952699,78787.3533911,2675448.19712215,12111.689189,10801.660694,2605075.01128299
2018,South/Dry,HadGEM2ES-rcp45,5360689.8162893,39792.284714286,2121059.92364601,10385.83632,15412.084846,1385887.76210331
2018,North/Moist,HadGEM2ES-rcp85,6441171.4770037,72816.512041589,2654592.31469546,12815.725994,10679.986248,2444374.00934778
2018,South/Dry,HadGEM2ES-rcp85,5376639.22208851,45788.670563354,2137445.17398009,10869.056441,15598.365363,1706288.16777454
2018,North/Moist,NoClimate,6485708.6866826,79777.914158428,2659351.18043604,12051.67042,10543.741515,2548786.30728635
2018,South/Dry,NoClimate,5417302.62046001,38773.883445383,2152402.44866513,10275.896471,15852.177674,1449069.98719039
2023,North/Moist,CCSM4-rcp45,6832942.27063498,66969.269268915,2806697.43255692,10892.994048,10639.43916,2098405.13177689
2023,South/Dry,CCSM4-rcp45,5564737.4039184,51563.341385087,2141778.87331775,8505.373451,14493.481247,1737984.9147419
2023,North/Moist,CCSM4-rcp85,6805218.17275049,66283.322818941,2779057.68086009,11863.868252,10597.638512,2128730.5888017
2023,South/Dry,CCSM4-rcp85,5681967.06920751,52246.302006888,2293639.93606238,9173.72967,17050.518387,1571165.5244092
2023,North/Moist,Ensemble-rcp45,6831757.8564006,71321.843013004,2801222.05143094,11075.592163,10748.463064,2304603.10655429
2023,South/Dry,Ensemble-rcp45,5654310.83879349,47207.399066019,2246676.14034436,8516.99330599999,16770.970715,1484407.10160014
2023,North/Moist,Ensemble-rcp85,6832360.52315498,62627.749041555,2804909.62753675,11332.84057,10659.321076,1922887.34458672
2023,South/Dry,Ensemble-rcp85,5631992.10489269,55907.838472873,2242718.93665641,8743.116619,16640.859087,1882523.69014728
