year,climate,fortype,acres
2013,CCSM4-rcp45,183,2353.484708
2013,CCSM4-rcp45,201,78406.522723
2013,CCSM4-rcp45,202,19.127166
2013,CCSM4-rcp45,221,3324.041458
2013,CCSM4-rcp45,222,534.901374
2013,CCSM4-rcp45,224,553.668691
2013,CCSM4-rcp45,241,42.922636
2013,CCSM4-rcp45,261,396.810088
2013,CCSM4-rcp45,262,472.049386
2013,CCSM4-rcp45,264,281.282497
2013,CCSM4-rcp45,267,2118.913472
2013,CCSM4-rcp45,268,98.475754
2013,CCSM4-rcp45,281,39.198955
2013,CCSM4-rcp45,301,2141.680526
2013,CCSM4-rcp45,304,416.06011
2013,CCSM4-rcp45,305,42.624791
2013,CCSM4-rcp45,361,39.998745
2013,CCSM4-rcp45,702,9.058504
2013,CCSM4-rcp45,704,19.475418
2013,CCSM4-rcp45,709,23.912717
2013,CCSM4-rcp45,901,14.584527
2013,CCSM4-rcp45,911,4566.223966
2013,CCSM4-rcp45,912,1235.302636
2013,CCSM4-rcp45,922,1142.500538
2013,CCSM4-rcp45,923,5394.480598
2013,CCSM4-rcp45,932,2151.182212
2013,CCSM4-rcp45,941,2750.12351
2013,CCSM4-rcp45,943,993.880692
2013,CCSM4-rcp45,951,5982.007099
2013,CCSM4-rcp45,997,607.02252
2013,CCSM4-rcp45,998,473.383004
2013,CCSM4-rcp45,999,5674.355559
2013,CCSM4-rcp85,183,2353.484708
2013,CCSM4-rcp85,201,78406.522723
2013,CCSM4-rcp85,202,19.127166
2013,CCSM4-rcp85,221,3324.041458
2013,CCSM4-rcp85,222,534.901374
2013,CCSM4-rcp85,224,553.668691
2013,CCSM4-rcp85,241,42.922636
2013,CCSM4-rcp85,261,396.810088
2013,CCSM4-rcp85,262,472.049386
2013,CCSM4-rcp85,264,281.282497
2013,CCSM4-rcp85,267,2118.913472
2013,CCSM4-rcp85,268,98.475754
2013,CCSM4-rcp85,281,39.198955
2013,CCSM4-rcp85,301,2141.680526
2013,CCSM4-rcp85,304,416.06011
2013,CCSM4-rcp85,305,42.624791
2013,CCSM4-rcp85,361,39.998745
2013,CCSM4-rcp85,702,9.058504
2013,CCSM4-rcp85,704,19.475418
2013,CCSM4-rcp85,709,23.912717
2013,CCSM4-rcp85,901,14.584527
2013,CCSM4-rcp85,911,4566.223966
2013,CCSM4-rcp85,912,1235.302636
2013,CCSM4-rcp85,922,1142.500538
2013,CCSM4-rcp85,923,5394.480598
2013,CCSM4-rcp85,932,2151.182212
2013,CCSM4-rcp85,941,2750.12351
2013,CCSM4-rcp85,943,993.880692
2013,CCSM4-rcp85,951,5982.007099
2013,CCSM4-rcp85,997,607.02252
2013,CCSM4-rcp85,998,473.383004
2013,CCSM4-rcp85,999,5674.355559
2013,Ensemble-rcp45,183,2353.484708
2013,Ensemble-rcp45,201,78406.522723
2013,Ensemble-rcp45,202,19.127166
