year,climate,fortype,acres,district
2013,Ensemble-rcp45,183,2353.484708,"Lakeview District"
2013,Ensemble-rcp45,201,13009.814127,"Coos Bay District"
2013,Ensemble-rcp45,201,12999.624931,"Eugene District"
2013,Ensemble-rcp45,201,356.791939,"Lakeview District"
2013,Ensemble-rcp45,201,20054.171892,"Medford District"
2013,Ensemble-rcp45,201,17838.167034,"Roseburg District"
2013,Ensemble-rcp45,201,14147.9528,"Salem District"
2013,Ensemble-rcp45,202,19.127166,"Medford District"
2013,Ensemble-rcp45,221,23.616796,"Coos Bay District"
2013,Ensemble-rcp45,221,1048.061409,"Lakeview District"
2013,Ensemble-rcp45,221,2069.251613,"Medford District"
2013,Ensemble-rcp45,221,183.11164,"Roseburg District"
2013,Ensemble-rcp45,222,15.605439,"Lakeview District"
2013,Ensemble-rcp45,222,484.542253,"Medford District"
2013,Ensemble-rcp45,222,34.753682,"Roseburg District"
2013,Ensemble-rcp45,224,47.761512,"Lakeview District"
2013,Ensemble-rcp45,224,489.686794,"Medford District"
2013,Ensemble-rcp45,224,16.220385,"Roseburg District"
2013,Ensemble-rcp45,241,42.922636,"Medford District"
2013,Ensemble-rcp45,261,34.842256,"Coos Bay District"
2013,Ensemble-rcp45,261,344.524881,"Medford District"
2013,Ensemble-rcp45,261,17.442951,"Roseburg District"
2013,Ensemble-rcp45,262,64.057597,"Lakeview District"
2013,Ensemble-rcp45,262,149.318733,"Medford District"
2013,Ensemble-rcp45,262,258.673056,"Salem District"
2013,Ensemble-rcp45,264,9.672867,"Eugene District"
2013,Ensemble-rcp45,264,271.60963,"Salem District"
2013,Ensemble-rcp45,267,653.398493,"Lakeview District"
2013,Ensemble-rcp45,267,1465.514979,"Medford District"
2013,Ensemble-rcp45,268,98.475754,"Lakeview District"
2013,Ensemble-rcp45,281,9.075328,"Coos Bay District"
2013,Ensemble-rcp45,281,30.123627,"Medford District"
2013,Ensemble-rcp45,301,140.181612,"Coos Bay District"
2013,Ensemble-rcp45,301,149.689514,"Eugene District"
2013,Ensemble-rcp45,301,58.348188,"Medford District"
2013,Ensemble-rcp45,301,227.028805,"Roseburg District"
2013,Ensemble-rcp45,301,1566.432407,"Salem District"
2013,Ensemble-rcp45,304,158.560092,"Coos Bay District"
2013,Ensemble-rcp45,304,103.989047,"Eugene District"
2013,Ensemble-rcp45,304,15.152332,"Roseburg District"
2013,Ensemble-rcp45,304,138.358639,"Salem District"
2013,Ensemble-rcp45,305,42.624791,"Salem District"
2013,Ensemble-rcp45,361,39.998745,"Medford District"
2013,Ensemble-rcp45,702,9.058504,"Salem District"
2013,Ensemble-rcp45,704,19.475418,"Salem District"
2013,Ensemble-rcp45,709,23.912717,"Eugene District"
2013,Ensemble-rcp45,901,5.852124,"Eugene District"
2013,Ensemble-rcp45,901,8.732403,"Salem District"
2013,Ensemble-rcp45,911,1517.919781,"Coos Bay District"
2013,Ensemble-rcp45,911,618.489614,"Eugene District"
2013,Ensemble-rcp45,911,87.107666,"Medford District"
2013,Ensemble-rcp45,911,182.350945,"Roseburg District"
2013,Ensemble-rcp45,911,2160.35596,"Salem District"
2013,Ensemble-rcp45,912,194.830978,"Coos Bay District"
2013,Ensemble-rcp45,912,374.67777,"Eugene District"
2013,Ensemble-rcp45,912,183.479331,"Roseburg District"
2013,Ensemble-rcp45,912,482.314557,"Salem District"
2013,Ensemble-rcp45,922,79.447845,"Coos Bay District"
2013,Ensemble-rcp45,922,1063.052693,"Medford District"
2013,Ensemble-rcp45,923,73.278149,"Eugene District"
2013,Ensemble-rcp45,923,245.448103,"Lakeview District"
2013,Ensemble-rcp45,923,4810.328982,"Medford District"
2013,Ensemble-rcp45,923,265.425364,"Roseburg District"
2013,Ensemble-rcp45,932,2114.704894,"Medford District"
2013,Ensemble-rcp45,932,36.477318,"Roseburg District"
2013,Ensemble-rcp45,941,756.375158,"Coos Bay District"
2013,Ensemble-rcp45,941,1807.430784,"Medford District"
2013,Ensemble-rcp45,941,186.317568,"Roseburg District"
2013,Ensemble-rcp45,943,20.025941,"Coos Bay District"
