start_vol,accretion_vol,mortality_vol,removed_vol,year,climate,acres,district
182827603.695103,19751020.455795,10454411.4443,0.0,2013,Ensemble-rcp45,16847.886544,"Coos Bay District"
115942395.62991,18779680.561105,6455541.436,0.0,2013,Ensemble-rcp45,15152.209702,"Eugene District"
8442613.3174,848054.239255,2366609.96061,0.0,2013,Ensemble-rcp45,7516.759292,"Lakeview District"
233335489.243514,23337210.9683701,12252536.65474,0.0,2013,Ensemble-rcp45,42540.8427829999,"Medford District"
168099898.703692,18836009.969905,7338709.43812999,0.0,2013,Ensemble-rcp45,20655.179195,"Roseburg District"
169289443.012209,24634369.77874,12482386.62859,0.0,2013,Ensemble-rcp45,19606.379064,"Salem District"
182827603.695103,19705571.25351,10441160.763265,0.0,2013,Ensemble-rcp85,16847.886544,"Coos Bay District"
115942395.62991,18728860.9173,6424734.48588,0.0,2013,Ensemble-rcp85,15152.209702,"Eugene District"
8442613.3174,937659.281295,1744160.84039,0.0,2013,Ensemble-rcp85,7516.759292,"Lakeview District"
233335489.243514,23364004.476625,11215764.958415,0.0,2013,Ensemble-rcp85,42540.8427829999,"Medford District"
168099898.703692,18772856.2491,7270062.30356,0.0,2013,Ensemble-rcp85,20655.179195,"Roseburg District"
169289443.012209,24526529.949855,12538410.717045,0.0,2013,Ensemble-rcp85,19606.379064,"Salem District"
192123255.843297,21389297.027875,10856635.9726,0.0,2018,Ensemble-rcp45,16847.886544,"Coos Bay District"
128267515.659706,21116219.520245,7620207.779185,0.0,2018,Ensemble-rcp45,15152.209702,"Eugene District"
6918079.567212,1203689.36578,542141.395215,0.0,2018,Ensemble-rcp45,7516.759292,"Lakeview District"
244402554.299906,25563477.898335,7614787.793615,0.0,2018,Ensemble-rcp45,42540.8427829999,"Medford District"
179588668.105635,20469022.67297,8138284.455905,0.0,2018,Ensemble-rcp45,20655.179195,"Roseburg District"
181440288.128448,26992587.274965,10702848.91406,0.0,2018,Ensemble-rcp45,19606.379064,"Salem District"
192092167.098845,21345999.05012,10881692.7253,0.0,2018,Ensemble-rcp85,16847.886544,"Coos Bay District"
128247828.864961,21060460.76338,7703557.61491,0.0,2018,Ensemble-rcp85,15152.209702,"Eugene District"
7630531.275874,1262866.61811,667714.052235,0.0,2018,Ensemble-rcp85,7516.759292,"Lakeview District"
245467185.564119,25562174.549255,7586535.208705,0.0,2018,Ensemble-rcp85,42540.8427829999,"Medford District"
179596585.762784,20376375.884325,8268738.63189,0.0,2018,Ensemble-rcp85,20655.179195,"Roseburg District"
181278489.278977,26853928.894825,10684697.069055,0.0,2018,Ensemble-rcp85,19606.379064,"Salem District"
202654319.488554,21642044.553365,14783937.39502,0.0,2023,Ensemble-rcp45,16847.886544,"Coos Bay District"
141763312.225607,21643083.35109,9935702.83244998,0.0,2023,Ensemble-rcp45,15152.209702,"Eugene District"
7577211.806434,1613474.65779,699000.05833,0.0,2023,Ensemble-rcp45,7516.759292,"Lakeview District"
262337417.341708,26823261.255035,11413947.05153,0.0,2023,Ensemble-rcp45,42540.8427829999,"Medford District"
191914505.476201,20946496.20998,11165078.57897,0.0,2023,Ensemble-rcp45,20655.179195,"Roseburg District"
197731310.227609,27693313.0225101,13184287.71393,0.0,2023,Ensemble-rcp45,19606.379064,"Salem District"
202557694.587941,21546743.07664,14863580.38949,0.0,2023,Ensemble-rcp85,16847.886544,"Coos Bay District"
141601021.017957,21571560.599155,10122881.327745,0.0,2023,Ensemble-rcp85,15152.209702,"Eugene District"
8223514.992108,1646275.633665,738273.636585,0.0,2023,Ensemble-rcp85,7516.759292,"Lakeview District"
263428540.1834,26735958.37164,11603602.20096,0.0,2023,Ensemble-rcp85,42540.8427829999,"Medford District"
191698700.010038,20815659.379075,11549137.612195,0.0,2023,Ensemble-rcp85,20655.179195,"Roseburg District"
197445891.453964,27449107.321905,13463494.3834,0.0,2023,Ensemble-rcp85,19606.379064,"Salem District"
209513330.627941,21517609.883765,16210791.29949,0.0,2028,Ensemble-rcp45,16847.886544,"Coos Bay District"
153470989.771965,21572810.18413,11712412.7475,0.0,2028,Ensemble-rcp45,15152.209702,"Eugene District"
8490022.10570901,2174738.873015,442622.866585,0.0,2028,Ensemble-rcp45,7516.759292,"Lakeview District"
277721996.121225,28377630.136535,13416773.877595,0.0,2028,Ensemble-rcp45,42540.8427829999,"Medford District"
