start_vol,accretion_vol,mortality_vol,removed_vol,year,climate,acres,district
182827603.695103,19543597.557645,10218357.478875,1801969.132614,2013,Ensemble-rcp45,16847.886544,"Coos Bay District"
115942395.62991,18282556.04038,6037649.0939,3777229.735896,2013,Ensemble-rcp45,15152.209702,"Eugene District"
8442613.3174,837122.52763,2206301.682585,309750.724262,2013,Ensemble-rcp45,7516.759292,"Lakeview District"
233335489.243514,23049469.5386801,10996982.79057,7051595.011916,2013,Ensemble-rcp45,42540.8427829999,"Medford District"
168099898.703692,18446881.33268,6776752.82881999,4769158.388457,2013,Ensemble-rcp45,20655.179195,"Roseburg District"
169289443.012209,23798245.480585,11726261.41713,5802263.182732,2013,Ensemble-rcp45,19606.379064,"Salem District"
182827603.695103,19453188.925735,10047444.004825,2295739.271403,2013,Ensemble-rcp85,16847.886544,"Coos Bay District"
115942395.62991,18233686.39713,6042753.664535,3453936.34816,2013,Ensemble-rcp85,15152.209702,"Eugene District"
8442613.3174,895926.99648,1542916.903725,594424.531273,2013,Ensemble-rcp85,7516.759292,"Lakeview District"
233335489.243514,22857991.82785,9961628.89190999,8017545.507926,2013,Ensemble-rcp85,42540.8427829999,"Medford District"
168099898.703692,18306069.42775,6773020.84845999,4465871.240678,2013,Ensemble-rcp85,20655.179195,"Roseburg District"
169289443.012209,23712505.06529,11562595.526275,6031977.837936,2013,Ensemble-rcp85,19606.379064,"Salem District"
182827603.695103,20379305.34336,10985423.12388,2660799.268034,2013,NoClimate,16847.886544,"Coos Bay District"
115942395.62991,18871989.397315,6438254.96436001,3533445.817003,2013,NoClimate,15152.209702,"Eugene District"
8442613.3174,848375.92972,2121834.175225,249190.080854,2013,NoClimate,7516.759292,"Lakeview District"
233335489.243514,23532103.2449,10665755.84246,5487487.338338,2013,NoClimate,42540.8427829999,"Medford District"
168099898.703692,19064473.124575,7123223.65246,4733900.472068,2013,NoClimate,20655.179195,"Roseburg District"
169289443.012209,24362816.450505,12017232.972005,5383417.215542,2013,NoClimate,19606.379064,"Salem District"
190349144.999535,20553193.62928,9963814.27385001,6798936.792739,2018,Ensemble-rcp45,16847.886544,"Coos Bay District"
124411160.388557,20324497.585035,6958809.948985,1840239.319939,2018,Ensemble-rcp45,15152.209702,"Eugene District"
6757735.33682,1193861.782675,484057.890765,122780.64747,2018,Ensemble-rcp45,7516.759292,"Lakeview District"
238321156.740836,24920444.345835,6814943.34405,5843990.754255,2018,Ensemble-rcp45,42540.8427829999,"Medford District"
174992737.617167,19832217.43854,7495757.321215,2467101.4754,2018,Ensemble-rcp45,20655.179195,"Roseburg District"
175557558.588269,25587912.23732,9526354.177515,4807417.929868,2018,Ensemble-rcp45,19606.379064,"Salem District"
