standid,sitecls
33,5
69,4
85,4
114,4
116,4
132,4
163,4
201,2
208,3
226,3
250,2
270,3
299,3
311,4
321,3
322,2
323,3
326,3
333,3
347,2
414,2
423,3
427,2
433,4
469,3
497,4
506,2
512,2
576,4
578,4
591,5
650,4
653,4
678,3
687,5
708,4
711,2
714,4
780,4
818,4
864,3
880,3
908,4
913,4
956,4
1011,4
1065,5
1115,4
1116,3
1126,4
1133,3
1137,3
1148,2
1187,5
1192,5
1195,3
1237,3
1247,4
1269,5
1286,4
1314,4
1325,3
1331,3
1343,5
1371,3
1402,4
1433,4
1450,4
1546,5
1581,3
1599,5
1616,3
1649,3
1682,4
1706,2
1709,5
1716,4
1783,5
1798,4
1804,4
1811,3
1843,4
1851,2
1874,4
1875,4
1887,5
1900,4
1913,4
1921,4
1932,4
1939,4
1947,4
1991,4
2001,5
2008,4
2052,5
2061,5
2065,5
2090,5
2107,5
2125,5
2145,4
2172,4
2176,5
2181,5
2201,4
2212,4
2219,5
2226,5
2241,5
2265,5
2281,5
2303,4
2311,5
2350,4
2356,5
2359,5
2367,5
2372,5
2397,5
2400,5
2415,5
2459,5
2463,5
2477,5
2527,5
2567,4
2612,5
2617,5
2624,4
2644,4
2679,5
2685,5
2700,5
2709,4
2726,2
2838,5
2844,4
2867,3
2899,5
2904,4
2918,2
2943,2
2944,2
2955,5
2971,5
3019,2
3070,5
3075,4
3078,4
3131,4
3140,4
3171,3
3181,3
3189,4
3190,3
3267,2
3305,5
3317,3
3322,3
3335,5
3378,4
3398,5
3404,5
3420,5
3440,5
3443,5
3455,4
3484,4
3497,5
3509,5
3541,5
3543,5
3548,5
3575,4
3581,4
3584,3
3592,3
3663,5
3718,4
3745,5
3756,5
3765,4
3778,4
3781,5
3784,4
3787,5
3816,5
3825,4
3846,5
3861,5
3899,4
3901,5
3921,4
3981,5
3995,5
4013,4
4039,5
4068,3
4104,4
4117,5
4123,5
4164,4
4192,5
4213,4
4247,5
4266,5
4381,4
4426,4
4440,5
4466,3
4477,5
4490,5
4498,5
4518,5
4524,5
4526,5
4568,4
4627,3
4633,4
4677,4
4697,5
4721,4
4769,3
4800,3
4806,5
4811,5
4838,5
4851,2
4916,4
4936,5
4952,4
4962,3
4973,3
5010,3
5044,5
5095,5
5117,3
5149,4
5180,5
5191,5
5192,3
5200,4
5206,4
5252,5
5256,5
5259,4
5297,3
5300,5
5339,5
5380,4
5408,5
5438,4
5520,4
5533,4
5551,4
5569,4
5585,5
5647,5
5673,5
5704,5
5717,5
5737,5
5775,5
5827,4
5831,5
5841,5
5845,5
5872,5
5884,4
5935,4
6076,5
6095,5
6097,5
6132,4
6195,5
6215,5
6276,5
6280,2
6310,5
6314,3
6320,5
6357,3
6359,5
6395,3
6396,3
6457,5
6479,4
6530,4
6545,5
6557,5
6570,4
6602,5
6610,2
6725,4
6729,5
6753,5
6796,3
6870,4
6901,5
7046,4
7132,3
7169,5
7225,5
7287,5
7311,5
7328,2
7337,5
7373,4
7379,4
7385,5
7394,4
7430,4
7432,4
7486,4
7527,5
7533,4
7569,4
7638,4
7642,5
7648,5
7675,3
7677,2
7709,5
7712,4
7724,3
7736,4
7746,2
7752,4
7787,3
7795,4
7820,5
7823,4
7835,3
7934,5
7939,4
7940,4
7950,5
7956,3
7962,5
7965,4
8015,3
8035,4
8038,4
8062,4
8103,5
8115,4
8117,4
8148,5
8162,3
8177,3
8254,5
8311,4
8331,3
8334,2
8357,4
8358,4
8398,2
8399,2
8425,3
8431,3
8469,4
8517,5
8519,5
8534,4
8558,4
8562,4
8610,4
8629,2
8665,4
8669,4
8684,4
8688,3
8701,5
8729,4
8733,5
8738,3
8776,4
8787,4
8798,4
8799,4
8818,5
8846,3
8871,3
8882,4
8900,3
8901,4
8929,4
8946,5
8949,4
8965,5
8975,3
8984,3
9005,4
9018,5
9029,3
9044,3
9050,4
9066,5
9081,4
9086,4
9092,3
9099,4
9110,3
9127,5
9131,5
9178,4
9197,4
9211,4
9220,3
9245,5
9258,4
9260,4
9314,3
9326,4
9332,3
9335,4
9340,5
9359,3
9386,3
9460,4
9485,2
9521,2
9531,4
9578,4
9592,3
9618,5
9673,5
9721,5
9746,2
9759,3
9760,3
9818,3
9822,3
9835,5
9841,3
9874,3
9875,2
9886,4
9905,4
10019,2
10021,2
10032,3
10077,5
10120,4
10139,4
10156,3
10158,3
10196,3
10203,3
10206,4
10211,3
10224,2
10226,3
10236,4
10248,4
10253,4
10264,5
10279,4
10295,5
10380,4
10382,3
10400,4
10444,4
10469,4
10479,3
10484,5
10526,5
10537,5
10543,4
10545,5
10634,4
10679,4
10691,5
10704,5
10725,3
10740,5
10760,4
10779,5
10786,4
10789,4
10792,2
10815,5
10831,5
10890,3
10895,5
10930,5
10933,5
10969,3
11000,4
11006,5
11013,4
11021,5
11022,5
11049,5
11079,4
11134,5
11137,5
11155,5
11168,5
11222,4
11252,5
11348,5
11354,5
11375,4
11379,4
11407,5
11413,5
11420,5
11483,5
11499,5
11505,3
11520,4
11562,5
11563,5
11572,4
11591,4
11626,5
11662,4
11677,4
11678,3
11687,4
11696,4
11734,4
11755,5
11778,5
11779,5
11787,4
11793,4
11852,5
11876,4
11898,5
11924,4
11931,3
11936,4
11991,5
11994,5
12000,5
12049,4
12149,5
12221,5
12229,5
12232,5
12247,5
12253,5
12269,5
12281,5
12289,5
12294,4
12322,3
12326,4
12337,5
12444,4
12463,5
12473,5
12479,5
12492,4
12535,5
12540,4
12599,5
12621,4
12625,3
12640,5
12647,4
12665,5
12670,5
12675,4
12679,5
12766,5
12779,4
12786,4
12818,5
12846,5
12857,5
12866,5
12953,5
12991,5
12992,5
12998,5
13022,4
13053,5
13064,5
13107,4
13122,5
13183,5
13197,5
13201,4
13219,3
13311,4
13384,5
13392,5
13423,4
13427,5
13442,3
13494,5
13527,5
13552,3
13571,3
13631,5
13648,2
13664,4
13670,4
13678,5
13681,5
13682,5
13712,5
13731,4
13745,3
13754,3
13758,2
13771,3
13773,3
13795,5
13836,5
13847,3
13859,3
13860,3
13864,3
13866,4
13885,3
13895,5
13896,5
13907,5
13932,4
13965,2
13982,5
14009,4
14021,4
14031,4
14039,4
14047,4
14058,5
14085,4
14121,3
14134,3
14144,5
14147,4
14214,4
14217,5
14231,5
14243,4
14269,3
14279,4
14284,5
14296,5
14323,4
14327,4
14329,4
14350,4
14357,5
14395,5
14399,3
14410,4
14411,5
14461,3
14519,4
14536,5
14569,4
14594,4
14598,4
14618,3
14633,4
14670,5
14685,5
14687,4
14699,4
14718,4
14740,5
14742,5
14757,5
14786,4
14790,4
14805,5
14814,5
14836,4
14899,4
14902,3
14941,5
14942,5
14946,5
15018,5
15047,3
15069,3
15099,5
15108,4
15109,5
15111,5
15128,3
15171,4
15183,5
15214,3
15226,4
15271,5
15289,4
15370,3
15386,4
15388,4
15389,4
15416,5
15436,3
15446,4
15462,3
15468,5
15470,5
15475,5
15476,5
15522,3
15541,5
15577,3
15587,4
15592,5
15598,5
15606,4
15611,5
15615,5
15618,5
15657,5
15681,4
15686,5
15702,5
15715,4
15725,4
15741,3
15752,5
15757,5
15765,4
15777,4
15824,2
15859,5
15862,5
15873,5
15880,5
15883,4
15911,5
15926,5
15937,5
15961,5
15964,5
15966,5
15991,5
16001,5
16033,5
16037,5
16064,5
16073,5
16085,5
16137,4
16171,5
16181,5
16189,5
16215,4
16234,3
16276,4
16283,4
16288,5
16293,5
16339,5
16357,5
16394,5
16419,5
16444,5
16466,5
16539,4
16565,4
16591,5
16649,3
16662,4
16671,5
16673,5
16681,3
16694,5
16709,4
16713,5
16714,5
16721,3
16722,2
16736,5
16742,5
16757,2
16764,4
16791,3
16799,4
16807,5
16815,5
16856,4
16992,5
17016,2
17022,5
17027,2
17046,5
17051,4
17065,4
17092,5
17129,5
17138,5
17167,4
17175,5
17183,4
17195,5
17213,4
17266,5
17287,3
17296,5
17300,5
17303,4
17311,5
17323,4
17331,5
17341,5
17364,4
17375,4
17376,4
17384,4
17415,5
17425,4
17461,3
17479,5
17481,5
17486,4
17527,5
17547,4
17553,3
17596,3
17607,4
17614,4
17645,3
17651,4
17656,4
17675,4
17684,2
17686,5
17698,4
17708,3
17757,4
17772,4
17813,4
17837,2
17876,5
17879,4
17891,3
17913,4
17935,5
17938,4
17939,4
17945,4
17958,4
17961,3
17975,4
18031,3
18056,4
18073,5
18121,3
18157,3
18161,4
18188,3
18226,4
18286,4
18300,5
18317,4
18323,4
18338,2
18343,4
18344,4
18358,4
18365,2
18375,4
18412,4
18429,4
18475,5
18493,4
18552,3
18557,4
18569,3
18577,3
18578,4
18638,4
18681,5
18731,4
18737,3
18741,3
18766,4
18769,5
18781,5
18803,4
18819,5
18886,4
18890,4
18946,3
18961,3
18964,3
18975,5
18981,5
19043,4
19068,4
19103,5
19113,4
19116,3
19134,4
19138,4
19141,3
19149,4
19180,4
19217,5
19240,4
19258,5
19305,3
19315,3
19350,4
19380,3
19396,4
19454,4
19477,4
19485,4
19490,5
19532,3
19550,3
19580,4
19607,4
19633,4
19643,3
19644,3
19645,3
19661,4
19666,3
19675,4
19682,5
19700,4
19726,5
19767,4
19776,3
19793,4
19841,2
19848,4
19872,4
19881,4
19883,4
19899,5
19912,3
19913,3
19919,3
19932,5
19937,4
19949,4
19963,5
19970,4
20022,4
20026,3
20044,4
20083,5
20098,2
20103,4
20108,3
20126,5
20168,3
20225,5
20257,3
20271,2
20276,4
20286,2
20294,3
20297,4
20309,4
20312,5
20364,5
20373,2
20423,4
20451,2
20483,4
20487,4
20493,4
20513,4
20529,5
20533,5
20551,4
20562,3
20571,4
20614,3
20616,3
20618,3
20629,4
20682,4
20693,4
20712,3
20722,3
20755,4
20766,4
20828,4
20853,4
20861,4
20862,4
20909,3
20933,3
20973,4
20975,4
20978,4
20980,4
20988,5
20989,3
21044,4
21071,5
21076,2
21150,5
21158,3
21170,4
21183,3
21184,3
21192,5
21230,4
21232,4
21242,4
21259,5
21271,4
21299,3
21312,2
21314,2
21352,4
21356,5
21401,3
21431,5
21457,4
21459,2
21494,3
21520,3
21539,3
21540,5
21560,4
21589,2
21591,2
21594,2
21647,3
21653,3
21660,4
21675,2
21695,2
21728,5
21735,4
21738,3
21776,3
21778,2
21789,2
21868,3
21942,5
21967,3
22032,2
22034,2
22051,2
22065,4
22088,4
22093,4
22107,3
22140,5
22142,5
22202,4
22249,4
22281,2
22305,4
